"","vaccine","brandname_tradename","packaging","cdc_cost_dose","private_sector_cost_dose","contract_end_date","manufacturer","date","year","ndc","contract_number"
"1442","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.046","$56.139","6/30/2014","Merck",2014-05-01,2014,"00006-4681-00","200-2013-55309"
"1443","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","1 pack – 5 dose vials","$23.31","$68.29","6/30/2014","Merck",2014-05-01,2014,"00006-4739-00","200-2013-55309"
"1444","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$26.159","$68.287","6/30/2014","Merck",2014-05-01,2014,"00006-4943-00","200-2013-55309"
"1445","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$85.189","$128.16","6/30/2014","Pfizer",2014-05-01,2014,"00005-1971-02","200-2013-55312"
"1446","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.558","$37.55","6/30/2014","GlaxoSmithKline",2014-05-01,2014,"58160-0842-11","200-2013-55308"
"1447","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes, No Needle","$25.64","$37.55","6/30/2014","GlaxoSmithKline",2014-05-01,2014,"58160-0842-52","200-2013-55308"
"1448","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$22.629","$41.06","6/30/2014","Sanofi",2014-05-01,2014,"49281-0400-10","200-2013-55310"
"1449","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$21.322","$41.06","6/30/2014","Sanofi",2014-05-01,2014,"49281-0400-15","200-2013-55310"
"1450","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$60.769","$94.141","6/30/2014","Merck",2014-05-01,2014,"00006-4827-00","200-2013-55309"
"1451","Zoster Vaccine Live[5]","Zostavax®","10 pack – 1 dose vial","$114.691","$173.976","6/30/2014","Merck",2014-05-01,2014,"00006-4963-41","200-2013-55309"
"1452","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose vial","$13.685","$21.74","6/30/2014","Sanofi",2014-05-01,2014,"49281-0215-10","200-2013-55310"
"1453","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose syringe","$13.545","$21.74","6/30/2014","Sanofi",2014-05-01,2014,"49281-0215-15","200-2013-55310"
"1454","Tetanus and Diphtheria Toxoids[3]","","10 pack – 1 dose vial","$12.599","","6/30/2014","Akorn",2014-05-01,2014,"17478-0131-01","200-2013-55314"
"1455","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$69.36","$117.418","6/30/2014","Novartis",2014-05-01,2014,"46028-0208-01","200-2013-55313"
"1456","Meningococcal Conjugate [5]","Menactra","5 pack – 1 dose vial","$74.864","$112.93","6/30/2014","Sanofi",2014-05-01,2014,"49281-0589-05","200-2013-55310"
"1457","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$25.00","$63.72","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0826-11","200-2013-55308"
"1458","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$25.00","$63.10","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0826-52","200-2013-55308"
"1459","Hepatitis A-Adult [5]","Vaqta®","6 pack – 1 dose prefilled syringes","$23.61","$65.03","6/30/2014","Merck",2014-06-03,2014,"00006-4096-09","200-2013-55309"
"1460","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose vials","$22.09","$59.988","6/30/2014","Merck",2014-06-03,2014,"00006-4841-41","200-2013-55309"
"1461","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$49.75","$92.50","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0815-11","200-2013-55308"
"1462","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$50.30","$92.50","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0815-52","200-2013-55308"
"1463","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$24.63","$52.50","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0821-11","200-2013-55308"
"1464","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$26.95","$52.50","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0821-52","200-2013-55308"
"1465","Hepatitis B-Adult [5]","Recombivax HB®","10 pack – 1 dose vials","$24.238","$59.093","6/30/2014","Merck",2014-06-03,2014,"00006-4995-41","200-2013-55309"
"1466","Hepatitis B-Adult [5]","Recombivax HB®","1 pack- single dose vial","$24.24","$59.70","6/30/2014","Merck",2014-06-03,2014,"00006-4995-00","200-2013-55309"
"1467","Hepatitis B-Adult [5]","Recombivax HB®","6 pack- 1 dose syringe","$25.76","$61.22","6/30/2014","Merck",2014-06-03,2014,"00006-4094-09","200-2013-55309"
"1468","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$90.399","$141.38","6/30/2014","Merck",2014-06-03,2014,"00006-4045-41","200-2013-55309"
"1469","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$86.592","$128.75","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0830-52","200-2013-55308"
"1470","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.046","$56.139","6/30/2014","Merck",2014-06-03,2014,"00006-4681-00","200-2013-55309"
"1471","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","1 pack – 5 dose vials","$23.31","$68.29","6/30/2014","Merck",2014-06-03,2014,"00006-4739-00","200-2013-55309"
"1472","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$26.159","$68.287","6/30/2014","Merck",2014-06-03,2014,"00006-4943-00","200-2013-55309"
"1473","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$85.189","$135.80","6/30/2014","Pfizer",2014-06-03,2014,"00005-1971-02","200-2013-55312"
"1474","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.558","$37.55","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0842-11","200-2013-55308"
"1475","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes, No Needle","$25.64","$37.55","6/30/2014","GlaxoSmithKline",2014-06-03,2014,"58160-0842-52","200-2013-55308"
"1476","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$22.629","$41.06","6/30/2014","Sanofi",2014-06-03,2014,"49281-0400-10","200-2013-55310"
"1477","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$21.322","$41.06","6/30/2014","Sanofi",2014-06-03,2014,"49281-0400-15","200-2013-55310"
"1478","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$60.769","$94.141","6/30/2014","Merck",2014-06-03,2014,"00006-4827-00","200-2013-55309"
"1479","Zoster Vaccine Live[5]","Zostavax®","10 pack – 1 dose vial","$114.691","$173.976","6/30/2014","Merck",2014-06-03,2014,"00006-4963-41","200-2013-55309"
"1480","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose vial","$13.685","$21.74","6/30/2014","Sanofi",2014-06-03,2014,"49281-0215-10","200-2013-55310"
"1481","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose syringe","$13.545","$21.74","6/30/2014","Sanofi",2014-06-03,2014,"49281-0215-15","200-2013-55310"
"1482","Tetanus and Diphtheria Toxoids[3]","","10 pack – 1 dose vial","$12.599","","6/30/2014","Akorn",2014-06-03,2014,"17478-0131-01","200-2013-55314"
"1483","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$69.36","$117.418","6/30/2014","Novartis",2014-06-03,2014,"46028-0208-01","200-2013-55313"
"1484","Meningococcal Conjugate [5]","Menactra","5 pack – 1 dose vial","$74.864","$112.93","6/30/2014","Sanofi",2014-06-03,2014,"49281-0589-05","200-2013-55310"
"1485","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$25.73","$63.72","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0826-11","200-2014-58785"
"1486","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$25.73","$63.10","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0826-52","200-2014-58785"
"1487","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose prefilled syringes","$25.73","$65.03","6/30/2015","Merck",2014-07-01,2014,"00006-4096-02","200-2014-58787"
"1488","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose vials","$25.73","$59.988","6/30/2015","Merck",2014-07-01,2014,"00006-4841-41","200-2014-58787"
"1489","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$51.20","$92.50","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0815-11","200-2014-58785"
"1490","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$51.76","$92.50","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0815-52","200-2014-58785"
"1491","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$25.35","$52.50","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0821-11","200-2014-58785"
"1492","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.73","$52.50","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0821-52","200-2014-58785"
"1493","Hepatitis B-Adult [5]","Recombivax HB®","10 pack – 1 dose vials","$27.20","$59.093","6/30/2015","Merck",2014-07-01,2014,"00006-4995-41","200-2014-58787"
"1494","Hepatitis B-Adult [5]","Recombivax HB®","10 pack- 1 dose syringes","$28.78","$61.22","6/30/2015","Merck",2014-07-01,2014,"00006-4094-02","200-2014-58787"
"1495","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$91.20","$141.38","6/30/2015","Merck",2014-07-01,2014,"00006-4045-41","200-2014-58787"
"1496","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$86.59","$128.75","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0830-52","200-2014-58785"
"1497","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.04","$56.139","6/30/2015","Merck",2014-07-01,2014,"00006-4681-00","200-2014-58787"
"1498","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringes","$44.50","$68.29","6/30/2015","Merck",2014-07-01,2014,"00006-4837-03","200-2014-58787"
"1499","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$44.50","$68.287","6/30/2015","Merck",2014-07-01,2014,"00006-4943-00","200-2014-58787"
"1500","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$89.75","$135.05","6/30/2015","Pfizer",2014-07-01,2014,"00005-1971-02","200-2014-58788"
"1501","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.56","$37.55","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0842-11","200-2014-58785"
"1502","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes, No Needle","$26.09","$37.55","6/30/2015","GlaxoSmithKline",2014-07-01,2014,"58160-0842-52","200-2014-58785"
"1503","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$22.63","$41.06","6/30/2015","Sanofi",2014-07-01,2014,"49281-0400-10","200-2014-58789"
"1504","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$21.32","$41.06","6/30/2015","Sanofi",2014-07-01,2014,"49281-0400-15","200-2014-58789"
"1505","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$60.76","$94.141","6/30/2015","Merck",2014-07-01,2014,"00006-4827-00","200-2014-58787"
"1506","Zoster Vaccine Live[5]","Zostavax®","10 pack – 1 dose vial","$116.23","$173.976","6/30/2015","Merck",2014-07-01,2014,"00006-4963-41","200-2014-58787"
"1507","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose vial","$14.20","$21.74","6/30/2015","Sanofi",2014-07-01,2014,"49281-0215-10","200-2014-58789"
"1508","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose syringe","$14.34","$21.74","6/30/2015","Sanofi",2014-07-01,2014,"49281-0215-15","200-2014-58789"
"1509","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$73.212","$117.418","6/30/2015","Novartis",2014-07-01,2014,"46028-0208-01","200-2014-58786"
"1510","Meningococcal Conjugate [5]","Menactra","5 pack – 1 dose vial","$75.31","$112.93","6/30/2015","Sanofi",2014-07-01,2014,"49281-0589-05","200-2014-58789"
"1511","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$25.73","$63.72","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0826-11","200-2014-58785"
"1512","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$25.73","$63.10","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0826-52","200-2014-58785"
"1513","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose prefilled syringes","$25.73","$65.03","6/30/2015","Merck",2014-08-01,2014,"00006-4096-02","200-2014-58787"
"1514","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose vials","$25.73","$59.988","6/30/2015","Merck",2014-08-01,2014,"00006-4841-41","200-2014-58787"
"1515","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$51.20","$92.50","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0815-11","200-2014-58785"
"1516","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$51.76","$92.50","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0815-52","200-2014-58785"
"1517","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$25.35","$52.50","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0821-11","200-2014-58785"
"1518","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.73","$52.50","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0821-52","200-2014-58785"
"1519","Hepatitis B-Adult [5]","Recombivax HB®","10 pack – 1 dose vials","$27.20","$59.093","6/30/2015","Merck",2014-08-01,2014,"00006-4995-41","200-2014-58787"
"1520","Hepatitis B-Adult [5]","Recombivax HB®","10 pack- 1 dose syringes","$28.78","$61.22","6/30/2015","Merck",2014-08-01,2014,"00006-4094-02","200-2014-58787"
"1521","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$91.20","$141.38","6/30/2015","Merck",2014-08-01,2014,"00006-4045-41","200-2014-58787"
"1522","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$86.59","$128.75","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0830-52","200-2014-58785"
"1523","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.04","$56.139","6/30/2015","Merck",2014-08-01,2014,"00006-4681-00","200-2014-58787"
"1524","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringes","$44.50","$68.29","6/30/2015","Merck",2014-08-01,2014,"00006-4837-03","200-2014-58787"
"1525","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$44.50","$68.287","6/30/2015","Merck",2014-08-01,2014,"00006-4943-00","200-2014-58787"
"1526","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$89.75","$135.05","6/30/2015","Pfizer",2014-08-01,2014,"00005-1971-02","200-2014-58788"
"1527","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.56","$37.55","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0842-11","200-2014-58785"
"1528","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes, No Needle","$26.09","$37.55","6/30/2015","GlaxoSmithKline",2014-08-01,2014,"58160-0842-52","200-2014-58785"
"1529","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$22.63","$41.06","6/30/2015","Sanofi",2014-08-01,2014,"49281-0400-10","200-2014-58789"
"1530","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$21.32","$41.06","6/30/2015","Sanofi",2014-08-01,2014,"49281-0400-15","200-2014-58789"
"1531","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$60.76","$94.141","6/30/2015","Merck",2014-08-01,2014,"00006-4827-00","200-2014-58787"
"1532","Zoster Vaccine Live[5]","Zostavax®","10 pack – 1 dose vial","$116.23","$173.976","6/30/2015","Merck",2014-08-01,2014,"00006-4963-41","200-2014-58787"
"1533","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose vial","$14.20","$21.74","6/30/2015","Sanofi",2014-08-01,2014,"49281-0215-10","200-2014-58789"
"1534","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose syringe","$14.34","$21.74","6/30/2015","Sanofi",2014-08-01,2014,"49281-0215-15","200-2014-58789"
"1535","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$73.212","$117.418","6/30/2015","Novartis",2014-08-01,2014,"46028-0208-01","200-2014-58786"
"1536","Meningococcal Conjugate [5]","Menactra","5 pack – 1 dose vial","$75.31","$112.93","6/30/2015","Sanofi",2014-08-01,2014,"49281-0589-05","200-2014-58789"
"1537","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$25.73","$63.72","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0826-11","200-2014-58785"
"1538","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$25.73","$63.10","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0826-52","200-2014-58785"
"1539","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose prefilled syringes","$25.73","$65.03","6/30/2015","Merck",2014-12-05,2014,"00006-4096-02","200-2014-58787"
"1540","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose vials","$25.73","$59.988","6/30/2015","Merck",2014-12-05,2014,"00006-4841-41","200-2014-58787"
"1541","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$51.20","$92.50","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0815-11","200-2014-58785"
"1542","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$51.76","$92.50","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0815-52","200-2014-58785"
"1543","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$25.35","$52.50","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0821-11","200-2014-58785"
"1544","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.73","$52.50","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0821-52","200-2014-58785"
"1545","Hepatitis B-Adult [5]","Recombivax HB®","10 pack – 1 dose vials","$27.20","$59.093","6/30/2015","Merck",2014-12-05,2014,"00006-4995-41","200-2014-58787"
"1546","Hepatitis B-Adult [5]","Recombivax HB®","10 pack- 1 dose syringes","$28.78","$61.22","6/30/2015","Merck",2014-12-05,2014,"00006-4094-02","200-2014-58787"
"1547","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$91.20","$141.38","6/30/2015","Merck",2014-12-05,2014,"00006-4045-41","200-2014-58787"
"1548","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$86.59","$128.75","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0830-52","200-2014-58785"
"1549","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.04","$56.139","6/30/2015","Merck",2014-12-05,2014,"00006-4681-00","200-2014-58787"
"1550","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringes","$44.50","$68.29","6/30/2015","Merck",2014-12-05,2014,"00006-4837-03","200-2014-58787"
"1551","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$44.50","$68.287","6/30/2015","Merck",2014-12-05,2014,"00006-4943-00","200-2014-58787"
"1552","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$89.75","$152.01","6/30/2015","Pfizer",2014-12-05,2014,"00005-1971-02","200-2014-58788"
"1553","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.56","$37.55","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0842-11","200-2014-58785"
"1554","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes, No Needle","$26.09","$37.55","6/30/2015","GlaxoSmithKline",2014-12-05,2014,"58160-0842-52","200-2014-58785"
"1555","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$22.63","$41.06","6/30/2015","Sanofi",2014-12-05,2014,"49281-0400-10","200-2014-58789"
"1556","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$21.32","$41.06","6/30/2015","Sanofi",2014-12-05,2014,"49281-0400-15","200-2014-58789"
"1557","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$60.76","$94.141","6/30/2015","Merck",2014-12-05,2014,"00006-4827-00","200-2014-58787"
"1558","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$116.23","$173.976","6/30/2015","Merck",2014-12-05,2014,"00006-4963-41","200-2014-58787"
"1559","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose vial","$14.20","$21.74","6/30/2015","Sanofi",2014-12-05,2014,"49281-0215-10","200-2014-58789"
"1560","Tetanus and Diphtheria Toxoids[3]","Tenivac","10 pack – 1 dose syringe","$14.34","$21.74","6/30/2015","Sanofi",2014-12-05,2014,"49281-0215-15","200-2014-58789"
"1561","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$73.212","$117.418","6/30/2015","Novartis",2014-12-05,2014,"46028-0208-01","200-2014-58786"
"1562","Meningococcal Conjugate [5]","Menactra","5 pack – 1 dose vial","$75.31","$112.93","6/30/2015","Sanofi",2014-12-05,2014,"49281-0589-05","200-2014-58789"
"1563","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$25.73","$63.72","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0826-11","200-2014-58785"
"1564","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$25.73","$63.10","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0826-52","200-2014-58785"
"1565","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose prefilled syringes","$25.73","$65.03","6/30/2015","Merck",2015-01-05,2015,"00006-4096-02","200-2014-58787"
"1566","Hepatitis A-Adult [5]","Vaqta®","10 pack – 1 dose vials","$25.73","$59.988","6/30/2015","Merck",2015-01-05,2015,"00006-4841-41","200-2014-58787"
"1567","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$51.20","$92.50","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0815-11","200-2014-58785"
"1568","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$51.76","$92.50","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0815-52","200-2014-58785"
"1569","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$25.35","$52.50","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0821-11","200-2014-58785"
"1570","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.73","$52.50","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0821-52","200-2014-58785"
"1571","Hepatitis B-Adult [5]","Recombivax HB®","10 pack – 1 dose vials","$24.162","$59.093","6/30/2015","Merck",2015-01-05,2015,"00006-4995-41","200-2014-58787"
"1572","Hepatitis B-Adult [5]","Recombivax HB®","10 pack- 1 dose syringes","$24.162","$61.22","6/30/2015","Merck",2015-01-05,2015,"00006-4094-02","200-2014-58787"
"1573","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$91.20","$141.38","6/30/2015","Merck",2015-01-05,2015,"00006-4045-41","200-2014-58787"
"1574","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$86.59","$128.75","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0830-52","200-2014-58785"
"1575","Measles, Mumps, & Rubella-Adult [1]","M-M-R®II","10 pack – 1 dose vials","$37.04","$56.139","6/30/2015","Merck",2015-01-05,2015,"00006-4681-00","200-2014-58787"
"1576","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringes","$26.593","$68.29","6/30/2015","Merck",2015-01-05,2015,"00006-4837-03","200-2014-58787"
"1577","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose 0.5 mL vials","$26.593","$68.287","6/30/2015","Merck",2015-01-05,2015,"00006-4943-00","200-2014-58787"
"1578","Pneumococcal
13-valent [5] (Adult)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$89.75","$152.01","6/30/2015","Pfizer",2015-01-05,2015,"00005-1971-02","200-2014-58788"
"1579","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$25.56","$37.55","6/30/2015","GlaxoSmithKline",2015-01-05,2015,"58160-0842-11","200-2014-58785"
