"","vaccine","brandname_tradename","packaging","cdc_cost_dose","contract_end_date","manufacturer","date","year","private_sector_cost_dose","ndc","contract_number"
"3289","e-IPV [5]","IPOL®","10 dose vial","$12.46","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$27.44","49281-0860-10","200-2014-58149"
"3290","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose vial","$16.17","03/31/2015","Merck",2015-01-05,2015,"$30.369","00006-4831-41","200-2014-58150"
"3291","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose syringes","$16.17","03/31/2015","Merck",2015-01-05,2015,"$31.12","00006-4095-02","200-2014-58150"
"3292","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials","$16.15","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$28.74","58160-0825-11","200-2014-58151"
"3293","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose T-L syringes. No Needle","$16.15","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$28.74","58160-0825-52","200-2014-58151"
"3294","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials","$52.26","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$92.50","58160-0815-11","200-2014-58151"
"3295","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$52.26","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$92.50","58160-0815-52","200-2014-58151"
"3296","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose vials","$11.08","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$21.37","58160-0820-11","200-2014-58151"
"3297","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose T-L syringes, No Needle","$11.08","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$21.37","58160-0820-52","200-2014-58151"
"3298","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose vials","$11.00","03/31/2015","Merck",2015-01-05,2015,"$23.204","00006-4981-00","200-2014-58150"
"3299","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose syringes","$11.75","03/31/2015","Merck",2015-01-05,2015,"$23.95","00006-4093-02","200-2014-58150"
"3300","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$12.34","03/31/2015","Merck",2015-01-05,2015,"$22.769","00006-4897-00","200-2014-58150"
"3301","Hib [5]","ActHIB®","5 pack – 1 dose vials","$9.36","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$26.21","49281-0545-05","200-2014-58149"
"3302","HIBMENCY [3]","MENHIBRIX®","10 pack – 1 dose vials","$10.10","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$23.60","58160-0801-11","200-2014-58151"
"3303","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$113.54","03/31/2015","Merck",2015-01-05,2015,"$141.38","00006-4045-41","200-2014-58150"
"3304","HPV -Bivalent Human Papillomavirus Types 16 and 18 [5]","Cervarix®","10 pack-1 dose syringe, No Needle","$103.85","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$128.75","58160-0830-52","200-2014-58151"
"3305","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$82.12","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$112.93","49281-0589-05","200-2014-58149"
"3306","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$82.12","03/31/2015","Novartis",2015-01-05,2015,"$117.418","46028-0208-01","200-2014-58153"
"3307","Measles, Mumps and Rubella (MMR) [1]","M-M-R®II","10 pack – 1 dose vials","$19.91","03/31/2015","Merck",2015-01-05,2015,"$56.139","00006-4681-00","200-2014-58150"
"3308","MMR/Varicella [2]","ProQuad®","10 pack – 1 dose vials","$103.16","03/31/2015","Merck",2015-01-05,2015,"$157.644","00006-4999-00","200-2014-58150"
"3309","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13 TM","10 pack – 1 dose syringes, No Needle","$112.44","03/31/2015","Pfizer",2015-01-05,2015,"$152.01","00005-1971-02","200-2014-58152"
"3310","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose vials","$41.49","03/31/2015","Merck",2015-01-05,2015,"$68.287","00006-4943-00","200-2014-58150"
"3311","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-01-05,2015,"$75.203","00006-4047-41","200-2014-58150"
"3312","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","25 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-01-05,2015,"$75.203","00006-4047-20","200-2014-58150"
"3313","Rotavirus, Live, Oral, Oral [5]","Rotarix®","10 pack – 1 dose vials","$85.04","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$106.57","58160-0854-52","200-2014-58151"
"3314","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose syringes
No Needle","$17.69","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$22.34","49281-0215-15","200-2014-58149"
"3315","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose vials","$17.69","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$22.34","49281-0215-10","200-2014-58149"
"3316","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vials","$30.64","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$37.55","58160-0842-11","200-2014-58151"
"3317","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringes","$30.64","03/31/2015","GlaxoSmithKline",2015-01-05,2015,"$37.55","58160-0842-52","200-2014-58151"
"3318","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","10 pack – 1 dose vials","$30.25","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$41.06","49281-0400-10","200-2014-58149"
"3319","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","5 pack – 1 dose BD Leur-Lok syringes","$30.25","03/31/2015","Sanofi Pasteur",2015-01-05,2015,"$41.06","49281-0400-15","200-2014-58149"
"3320","Varicella [5]","Varivax®","10 pack – 1 dose vials","$78.34","03/31/2015","Merck",2015-01-05,2015,"$94.141","00006-4827-00","200-2014-58150"
"3321","DTaP [1]","Daptacel®","10 pack – 1 dose vials","$15.38","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$27.17","49281-0286-10","200-2014-58149"
"3322","DTaP [1]","Infanrix®","10 pack – 1 dose vials","$15.76","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$20.96","58160-0810-11","200-2014-58151"
"3323","DTaP [1]","Infanrix®","10 pack – 1 dose T-L syringes. No Needle","$15.76","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$21.44","58160-0810-52","200-2014-58151"
"3324","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials","$38.50","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$48.00","58160-0812-11","200-2014-58151"
"3325","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose T-L syringes","$38.50","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$48.00","58160-0812-52","200-2014-58151"
"3326","DTaP-Hep B-IPV [4]","Pediarix®","10 pack – 1 dose T-L syringes, No Needle","$53.86","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$70.72","58160-0811-52","200-2014-58151"
"3327","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$52.43","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$83.50","49281-0510-05","200-2014-58149"
"3328","e-IPV [5]","IPOL®","10 dose vial","$12.46","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$28.77","49281-0860-10","200-2014-58149"
"3329","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose vial","$16.17","03/31/2015","Merck",2015-02-02,2015,"$30.369","00006-4831-41","200-2014-58150"
"3330","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose syringes","$16.17","03/31/2015","Merck",2015-02-02,2015,"$31.12","00006-4095-02","200-2014-58150"
"3331","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials","$16.15","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$28.74","58160-0825-11","200-2014-58151"
"3332","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose T-L syringes. No Needle","$16.15","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$28.74","58160-0825-52","200-2014-58151"
"3333","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials","$52.26","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$92.50","58160-0815-11","200-2014-58151"
"3334","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$52.26","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$92.50","58160-0815-52","200-2014-58151"
"3335","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose vials","$11.08","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$21.37","58160-0820-11","200-2014-58151"
"3336","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose T-L syringes, No Needle","$11.08","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$21.37","58160-0820-52","200-2014-58151"
"3337","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose vials","$11.00","03/31/2015","Merck",2015-02-02,2015,"$23.204","00006-4981-00","200-2014-58150"
"3338","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose syringes","$11.75","03/31/2015","Merck",2015-02-02,2015,"$23.95","00006-4093-02","200-2014-58150"
"3339","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$12.34","03/31/2015","Merck",2015-02-02,2015,"$22.769","00006-4897-00","200-2014-58150"
"3340","Hib [5]","ActHIB®","5 pack – 1 dose vials","$9.36","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$27.49","49281-0545-05","200-2014-58149"
"3341","HIBMENCY [3]","MENHIBRIX®","10 pack – 1 dose vials","$10.10","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$23.60","58160-0801-11","200-2014-58151"
"3342","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$113.54","03/31/2015","Merck",2015-02-02,2015,"$147.005","00006-4045-41","200-2014-58150"
"3343","HPV -Bivalent Human Papillomavirus Types 16 and 18 [5]","Cervarix®","10 pack-1 dose syringe, No Needle","$103.85","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$128.75","58160-0830-52","200-2014-58151"
"3344","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$82.12","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$112.93","49281-0589-05","200-2014-58149"
"3345","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$82.12","03/31/2015","Novartis",2015-02-02,2015,"$117.418","46028-0208-01","200-2014-58153"
"3346","Measles, Mumps and Rubella (MMR) [1]","M-M-R®II","10 pack – 1 dose vials","$19.91","03/31/2015","Merck",2015-02-02,2015,"$59.911","00006-4681-00","200-2014-58150"
"3347","MMR/Varicella [2]","ProQuad®","10 pack – 1 dose vials","$103.16","03/31/2015","Merck",2015-02-02,2015,"$168.469","00006-4999-00","200-2014-58150"
"3348","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13 TM","10 pack – 1 dose syringes, No Needle","$112.44","03/31/2015","Pfizer",2015-02-02,2015,"$152.01","00005-1971-02","200-2014-58152"
"3349","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose vials","$41.49","03/31/2015","Merck",2015-02-02,2015,"$72.384","00006-4943-00","200-2014-58150"
"3350","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-02-02,2015,"$75.203","00006-4047-41","200-2014-58150"
"3351","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","25 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-02-02,2015,"$75.203","00006-4047-20","200-2014-58150"
"3352","Rotavirus, Live, Oral, Oral [5]","Rotarix®","10 pack – 1 dose vials","$85.04","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$106.57","58160-0854-52","200-2014-58151"
"3353","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose syringes
No Needle","$17.69","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$24.22","49281-0215-15","200-2014-58149"
"3354","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose vials","$17.69","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$24.22","49281-0215-10","200-2014-58149"
"3355","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vials","$30.64","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$37.55","58160-0842-11","200-2014-58151"
"3356","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringes","$30.64","03/31/2015","GlaxoSmithKline",2015-02-02,2015,"$37.55","58160-0842-52","200-2014-58151"
"3357","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","10 pack – 1 dose vials","$30.25","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$41.06","49281-0400-10","200-2014-58149"
"3358","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","5 pack – 1 dose BD Leur-Lok syringes","$30.25","03/31/2015","Sanofi Pasteur",2015-02-02,2015,"$41.06","49281-0400-15","200-2014-58149"
"3359","Varicella [5]","Varivax®","10 pack – 1 dose vials","$78.34","03/31/2015","Merck",2015-02-02,2015,"$100.678","00006-4827-00","200-2014-58150"
"3360","DTaP [1]","Daptacel®","10 pack – 1 dose vials","$15.38","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$27.17","49281-0286-10","200-2014-58149"
"3361","DTaP [1]","Infanrix®","10 pack – 1 dose vials","$15.76","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$20.96","58160-0810-11","200-2014-58151"
"3362","DTaP [1]","Infanrix®","10 pack – 1 dose T-L syringes. No Needle","$15.76","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$21.44","58160-0810-52","200-2014-58151"
"3363","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials","$38.50","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$48.00","58160-0812-11","200-2014-58151"
"3364","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose T-L syringes","$38.50","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$48.00","58160-0812-52","200-2014-58151"
"3365","DTaP-Hep B-IPV [4]","Pediarix®","10 pack – 1 dose T-L syringes, No Needle","$53.86","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$70.72","58160-0811-52","200-2014-58151"
"3366","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$52.43","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$83.50","49281-0510-05","200-2014-58149"
"3367","e-IPV [5]","IPOL®","10 dose vial","$12.46","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$28.77","49281-0860-10","200-2014-58149"
"3368","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose vial","$16.17","03/31/2015","Merck",2015-02-24,2015,"$30.369","00006-4831-41","200-2014-58150"
"3369","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose syringes","$16.17","03/31/2015","Merck",2015-02-24,2015,"$31.12","00006-4095-02","200-2014-58150"
"3370","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials","$16.15","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$28.74","58160-0825-11","200-2014-58151"
"3371","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose T-L syringes. No Needle","$16.15","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$28.74","58160-0825-52","200-2014-58151"
"3372","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials","$52.26","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$92.50","58160-0815-11","200-2014-58151"
"3373","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$52.26","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$92.50","58160-0815-52","200-2014-58151"
"3374","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose vials","$11.08","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$21.37","58160-0820-11","200-2014-58151"
"3375","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose T-L syringes, No Needle","$11.08","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$21.37","58160-0820-52","200-2014-58151"
"3376","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose vials","$11.00","03/31/2015","Merck",2015-02-24,2015,"$23.204","00006-4981-00","200-2014-58150"
"3377","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose syringes","$11.75","03/31/2015","Merck",2015-02-24,2015,"$23.95","00006-4093-02","200-2014-58150"
"3378","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$12.34","03/31/2015","Merck",2015-02-24,2015,"$22.769","00006-4897-00","200-2014-58150"
"3379","Hib [5]","ActHIB®","5 pack – 1 dose vials","$9.36","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$27.49","49281-0545-05","200-2014-58149"
"3380","HIBMENCY [3]","MENHIBRIX®","10 pack – 1 dose vials","$10.10","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$23.60","58160-0801-11","200-2014-58151"
"3381","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$113.54","03/31/2015","Merck",2015-02-24,2015,"$147.005","00006-4045-41","200-2014-58150"
"3382","HPV -Bivalent Human Papillomavirus Types 16 and 18 [5]","Cervarix®","10 pack-1 dose syringe, No Needle","$103.85","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$128.75","58160-0830-52","200-2014-58151"
"3383","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$82.12","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$112.93","49281-0589-05","200-2014-58149"
"3384","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$82.12","03/31/2015","Novartis",2015-02-24,2015,"$117.418","46028-0208-01","200-2014-58153"
"3385","Measles, Mumps and Rubella (MMR) [1]","M-M-R®II","10 pack – 1 dose vials","$19.91","03/31/2015","Merck",2015-02-24,2015,"$59.911","00006-4681-00","200-2014-58150"
"3386","MMR/Varicella [2]","ProQuad®","10 pack – 1 dose vials","$103.16","03/31/2015","Merck",2015-02-24,2015,"$168.469","00006-4999-00","200-2014-58150"
"3387","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13 TM","10 pack – 1 dose syringes, No Needle","$112.44","03/31/2015","Pfizer",2015-02-24,2015,"$152.01","00005-1971-02","200-2014-58152"
"3388","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose vials","$41.49","03/31/2015","Merck",2015-02-24,2015,"$72.384","00006-4943-00","200-2014-58150"
"3389","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-02-24,2015,"$75.203","00006-4047-41","200-2014-58150"
"3390","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","25 pack – 1 dose 2mL tubes","$63.96","03/31/2015","Merck",2015-02-24,2015,"$75.203","00006-4047-20","200-2014-58150"
"3391","Rotavirus, Live, Oral, Oral [5]","Rotarix®","10 pack – 1 dose vials","$85.04","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$106.57","58160-0854-52","200-2014-58151"
"3392","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose syringes
No Needle","$17.69","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$24.22","49281-0215-15","200-2014-58149"
"3393","Tetanus & Diphtheria Toxoids [3]","Tenivac®","10 pack – 1 dose vials","$17.69","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$24.22","49281-0215-10","200-2014-58149"
"3394","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vials","$30.64","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$37.55","58160-0842-11","200-2014-58151"
"3395","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringes","$30.64","03/31/2015","GlaxoSmithKline",2015-02-24,2015,"$37.55","58160-0842-52","200-2014-58151"
"3396","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","10 pack – 1 dose vials","$30.25","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$41.06","49281-0400-10","200-2014-58149"
"3397","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","5 pack – 1 dose BD Leur-Lok syringes","$30.25","03/31/2015","Sanofi Pasteur",2015-02-24,2015,"$41.06","49281-0400-15","200-2014-58149"
"3398","Varicella [5]","Varivax®","10 pack – 1 dose vials","$78.34","03/31/2015","Merck",2015-02-24,2015,"$100.678","00006-4827-00","200-2014-58150"
"3399","DTaP [1]","Daptacel®","10 pack – 1 dose vial","$16.04","03/31/2016","Sanofi Pasteur",2015-04-01,2015,"$27.17","49281-0286-10","200-2015-62104"
"3400","DTaP [1]","Infanrix®","10 pack – 1 dose vial","$16.15","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$20.96","58160-0810-11","200-2015-62100"
"3401","DTaP [1]","Infanrix®","10 pack – 1 dose T-L syringe","$16.15","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$21.44","58160-0810-52","200-2015-62100"
"3402","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vial","$38.50","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$48.00","58160-0812-11","200-2015-62100"
"3403","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose syringe","$38.50","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$48.00","58160-0812-52","200-2015-62100"
"3404","DTaP-Hep B-IPV [4]","Pediarix®","10 pack – 1 dose syringe","$53.86","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$70.72","58160-0811-52","200-2015-62100"
"3405","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vial","$54.38","03/31/2016","Sanofi Pasteur",2015-04-01,2015,"$83.50","49281-0510-05","200-2015-62104"
"3406","e-IPV [5]","IPOL®","10 dose vial","$12.58","03/31/2016","Sanofi Pasteur",2015-04-01,2015,"$28.77","49281-0860-10","200-2015-62104"
"3407","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose vial","$17.40","03/31/2016","Merck",2015-04-01,2015,"$30.369","00006-4831-41","200-2015-62101"
"3408","Hepatitis A Pediatric [5]","Vaqta®","10 pack – 1 dose syringe","$17.40","03/31/2016","Merck",2015-04-01,2015,"$31.12","00006-4095-02","200-2015-62101"
"3409","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vial","$17.01","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$28.74","58160-0825-11","200-2015-62100"
"3410","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose syringe","$17.01","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$28.74","58160-0825-52","200-2015-62100"
"3411","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vial","$53.78","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$92.50","58160-0815-11","200-2015-62100"
"3412","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose syringe","$53.78","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$92.50","58160-0815-52","200-2015-62100"
"3413","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose vial","$11.08","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$21.37","58160-0820-11","200-2015-62100"
"3414","Hepatitis B [5]
Pediatric/Adolescent","Engerix B®","10 pack – 1 dose syringe","$11.08","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$21.37","58160-0820-52","200-2015-62100"
"3415","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose vial","$11.75","03/31/2016","Merck",2015-04-01,2015,"$23.204","00006-4981-00","200-2015-62101"
"3416","Hepatitis B [5]
Pediatric/Adolescent","Recombivax
HB®","10 pack – 1 dose syringe","$11.75","03/31/2016","Merck",2015-04-01,2015,"$23.95","00006-4093-02","200-2015-62101"
"3417","Hib [5]","PedvaxHIB®","10 pack – 1 dose vial","$12.34","03/31/2016","Merck",2015-04-01,2015,"$22.769","00006-4897-00","200-2015-62101"
"3418","Hib [5]","ActHIB®","5 pack – 1 dose vial","$9.45","03/31/2016","Sanofi Pasteur",2015-04-01,2015,"$27.49","49281-0545-05","200-2015-62104"
"3419","HIBMENCY [3]","MENHIBRIX®","10 pack – 1 dose vial","$10.10","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$23.60","58160-0801-11","200-2015-62100"
"3420","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vial","$121.03","03/31/2016","Merck",2015-04-01,2015,"$147.005","00006-4045-41","200-2015-62101"
"3421","HPV – Human Papillomavirus 9-valent [5]","Gardasil®9","10 pack – 1 dose vial","$134.26","03/31/2016","Merck",2015-04-01,2015,"$163.09","00006-4119-03","200-2015-62101"
"3422","HPV -Bivalent Human Papillomavirus Types 16 and 18 [5]","Cervarix®","10 pack-1 dose syringe","$107.97","03/31/2016","GlaxoSmithKline",2015-04-01,2015,"$128.75","58160-0830-52","200-2015-62100"
"3423","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$95.75","03/31/2016","Pfizer",2015-04-01,2015,"$115.75","00005-0100-10","200-2015-62103"
"3424","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$122.95","03/31/2016","Novartis",2015-04-01,2015,"$160.75","46028-0114-01","200-2015-62102"
"3425","MENB – Meningococcal Group B [5]","Bexsero®","1 pack – 1 dose syringe","$122.95","03/31/2016","Novartis",2015-04-01,2015,"$160.75","46028-0114-02","200-2015-62102"
"3426","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$86.19","03/31/2016","Sanofi Pasteur",2015-04-01,2015,"$112.93","49281-0589-05","200-2015-62104"
"3427","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$84.56","03/31/2016","Novartis",2015-04-01,2015,"$117.418","46028-0208-01","200-2015-62102"
